Epoch,Train_Acc,Clean_Test_Acc,Train_Time,Clean_Test_Time
109,90.302,88.27,144.567444562912,123.96392369270325
110,90.098,87.56,143.7965817451477,122.32022833824158
111,89.944,87.79,143.19539737701416,123.68944597244263
112,90.022,87.95,145.5017445087433,124.56225967407227
113,90.244,86.95,142.6650426387787,121.70758724212646
114,89.864,88.18,142.65322017669678,123.63938522338867
115,90.3,87.78,142.12232875823975,123.02600646018982
116,90.378,86.95,142.33383893966675,123.32627415657043
117,90.228,88.35,142.3084089756012,122.22883367538452
118,90.294,88.26,142.48215341567993,122.70355153083801
119,90.432,87.6,142.9145679473877,122.46098065376282
120,90.218,88.57,143.09769439697266,122.01559662818909
121,90.296,84.74,142.8705713748932,123.43381118774414
122,90.352,89.47,142.77813982963562,123.85444784164429
123,90.372,85.84,143.08750414848328,122.75382781028748
124,90.266,87.56,141.87983870506287,123.18990683555603
125,90.552,85.86,142.2607958316803,125.37374901771545
126,90.314,88.0,142.32563424110413,125.59303379058838
127,90.562,87.24,141.95664405822754,124.23227882385254
128,90.548,88.54,142.66951203346252,122.93255567550659
129,90.308,88.58,142.70451617240906,123.98873496055603
130,90.43,87.85,142.61730647087097,126.30319666862488
131,90.514,88.08,143.1192605495453,125.3731734752655
132,90.784,89.39,142.47575187683105,122.89367866516113
133,90.484,88.5,143.0411114692688,123.90836954116821
134,90.608,88.55,142.04123544692993,125.83181023597717
135,90.842,88.58,142.62354731559753,122.91361594200134
136,90.466,88.67,142.46189332008362,122.77609372138977
137,90.83,87.41,142.7160210609436,123.17906093597412
138,90.586,87.16,142.60350060462952,123.78892970085144
139,90.606,86.63,142.6873381137848,125.66919875144958
140,90.656,87.6,141.69631958007812,124.66246962547302
141,90.712,87.04,143.1032793521881,124.52310919761658
142,90.734,88.31,142.3583381175995,123.57780456542969
